Organisation;Internetadresse;AGS;Typ;PLZ;Landkreis;Bundesland
Westhausen;http://www.westhausen.de;08136082;Gemeinde;73463;Gemeindeverwaltungsverband Kapfenburg;Baden-Württemberg
Waldstetten;https://www.waldstetten.de;08136079;Gemeinde in Deutschland ohne Stadtrecht;73550;Ostalbkreis;Baden-Württemberg
Unterschneidheim;http://www.unterschneidheim.de;08136075;Gemeinde in Deutschland ohne Stadtrecht;73485;Ostalbkreis;Baden-Württemberg
Tannhausen;http://www.tannhausen.de;08136071;Gemeinde in Deutschland ohne Stadtrecht;73497;Gemeindeverwaltungsverband Tannhausen;Baden-Württemberg
Täferrot;http://www.taeferrot.de;08136070;Gemeinde in Deutschland ohne Stadtrecht;73527;Ostalbkreis;Baden-Württemberg
Stödtlen;https://www.stoedtlen.de;08136068;Gemeinde in Deutschland ohne Stadtrecht;73495;Gemeindeverwaltungsverband Tannhausen;Baden-Württemberg
Spraitbach;http://www.spraitbach.de;08136066;Gemeinde in Deutschland ohne Stadtrecht;73565;Ostalbkreis;Baden-Württemberg
Schwäbisch Gmünd;https://www.schwaebisch-gmuend.de;08136065;Stadt in Deutschland;73525–73529;Ostalbkreis;Baden-Württemberg
Schechingen;http://www.schechingen.de;08136062;Gemeinde in Deutschland ohne Stadtrecht;73579;Ostalbkreis;Baden-Württemberg
Ruppertshofen;http://www.ruppertshofen.de;08136061;Gemeinde in Deutschland ohne Stadtrecht;73577;Ostalbkreis;Baden-Württemberg
Rosenberg;http://www.gemeinde-rosenberg.de;08136060;Gemeinde in Deutschland ohne Stadtrecht;73494;Oberamt Ellwangen;Baden-Württemberg
Oberkochen;http://www.oberkochen.de;08136050;Stadt in Deutschland;73447;Ostalbkreis;Baden-Württemberg
Obergröningen;https://www.obergroeningen.de;08136049;Gemeinde in Deutschland ohne Stadtrecht;73569;Ostalbkreis;Baden-Württemberg
Neuler;http://www.neuler.de;08136046;Gemeinde in Deutschland ohne Stadtrecht;73491;Ostalbkreis;Baden-Württemberg
Neresheim;https://www.neresheim.de;08136045;Stadt in Deutschland;73450;Ostalbkreis;Baden-Württemberg
Mutlangen;http://www.mutlangen.de;08136044;Gemeinde in Deutschland ohne Stadtrecht;73557;Ostalbkreis;Baden-Württemberg
Mögglingen;http://www.moegglingen.de;08136043;Gemeinde in Deutschland ohne Stadtrecht;73563;Gemeindeverwaltungsverband Rosenstein;Baden-Württemberg
Lorch;http://www.stadt-lorch.de;08136042;Stadt in Deutschland;73547;Ostalbkreis;Baden-Württemberg
Leinzell;https://www.leinzell.de;08136040;Gemeinde in Deutschland ohne Stadtrecht;73575;Gemeindeverwaltungsverband Leintal-Frickenhofer Höhe;Baden-Württemberg
Lauchheim;https://www.lauchheim.de;08136038;Stadt in Deutschland;73466;Ostalbkreis;Baden-Württemberg
Kirchheim am Ries;http://www.kirchheim-am-ries.de;08136037;Gemeinde in Deutschland ohne Stadtrecht;73467;Ostalbkreis;Baden-Württemberg
Jagstzell;https://www.jagstzell.de;08136035;Gemeinde in Deutschland ohne Stadtrecht;73489;Ostalbkreis;Baden-Württemberg
Iggingen;https://www.iggingen.de;08136034;Gemeinde in Deutschland ohne Stadtrecht;73574;Ostalbkreis;Baden-Württemberg
Hüttlingen;http://www.huettlingen.de;08136033;Gemeinde in Deutschland ohne Stadtrecht;73460;Vereinbarte Verwaltungsgemeinschaft Aalen;Baden-Württemberg
Heuchlingen;http://www.heuchlingen.de;08136029;Gemeinde in Deutschland ohne Stadtrecht;73572;Ostalbkreis;Baden-Württemberg
Heubach;http://www.heubach.de;08136028;Stadt in Deutschland;73540;Ostalbkreis;Baden-Württemberg
Gschwend;http://www.gschwend.de;08136027;Gemeinde in Deutschland ohne Stadtrecht;74417;Ostalbkreis;Baden-Württemberg
Göggingen;http://www.gemeinde-goeggingen.de;08136024;Gemeinde in Deutschland ohne Stadtrecht;73571, 73575;Ostalbkreis;Baden-Württemberg
Essingen;http://www.essingen.de;08136021;Gemeinde in Deutschland ohne Stadtrecht;73457;Ostalbkreis;Baden-Württemberg
Eschach;http://www.eschach.de;08136020;Gemeinde in Deutschland ohne Stadtrecht;73569;Ostalbkreis;Baden-Württemberg
Ellwangen;http://www.ellwangen.de;08136019;Große Kreisstadt in Baden-Württemberg;73479;Ostalbkreis;Baden-Württemberg
Ellenberg;http://www.ellenberg.de;08136018;Gemeinde in Deutschland ohne Stadtrecht;73488;Ostalbkreis;Baden-Württemberg
Durlangen;http://www.durlangen.de;08136015;Gemeinde in Deutschland ohne Stadtrecht;73568;Ostalbkreis;Baden-Württemberg
Bopfingen;http://www.bopfingen.de;08136010;Stadt in Deutschland;73441;Ostalbkreis;Baden-Württemberg
Böbingen an der Rems;https://www.boebingen.de;08136009;Gemeinde in Deutschland ohne Stadtrecht;73560;Ostalbkreis;Baden-Württemberg
Bartholomä;http://www.bartholomae.de;08136007;Gemeinde in Deutschland ohne Stadtrecht;73566;Ostalbkreis;Baden-Württemberg
Adelmannsfelden;http://www.adelmannsfelden.de;08136003;Gemeinde in Deutschland ohne Stadtrecht;73486;Ostalbkreis;Baden-Württemberg
Abtsgmünd;http://www.abtsgmuend.de;08136002;Gemeinde in Deutschland ohne Stadtrecht;73453;Ostalbkreis;Baden-Württemberg
Steinheim am Albuch;http://www.steinheim.com;08135032;Gemeinde in Deutschland ohne Stadtrecht;89555;Landkreis Heidenheim;Baden-Württemberg
Sontheim an der Brenz;http://www.sontheim-brenz.de;08135031;Gemeinde in Deutschland ohne Stadtrecht;89567;Landkreis Heidenheim;Baden-Württemberg
Niederstotzingen;http://www.niederstotzingen.de;08135027;Stadt in Deutschland;89168;Landkreis Heidenheim;Baden-Württemberg
Nattheim;https://www.nattheim.de;08135026;Gemeinde in Deutschland ohne Stadtrecht;89564;Vereinbarte Verwaltungsgemeinschaft Heidenheim an der Brenz;Baden-Württemberg
Königsbronn;https://www.koenigsbronn.de;08135025;Gemeinde in Deutschland ohne Stadtrecht;89551;Landkreis Heidenheim;Baden-Württemberg
Hermaringen;https://www.hermaringen.de;08135021;Gemeinde in Deutschland ohne Stadtrecht;89568;Landkreis Heidenheim;Baden-Württemberg
Herbrechtingen;http://www.herbrechtingen.de;08135020;Stadt in Deutschland;89538–89542;Landkreis Heidenheim;Baden-Württemberg
Heidenheim an der Brenz;http://www.heidenheim.de;08135019;Stadt in Deutschland;89518–89522;Vereinbarte Verwaltungsgemeinschaft Heidenheim an der Brenz;Baden-Württemberg
Giengen an der Brenz;http://www.giengen.de;08135016;Stadt in Deutschland;89537;Landkreis Heidenheim;Baden-Württemberg
Gerstetten;https://www.gerstetten.de;08135015;Gemeinde in Deutschland ohne Stadtrecht;89547;Landkreis Heidenheim;Baden-Württemberg
Dischingen;https://www.dischingen.de;08135010;Gemeinde in Deutschland ohne Stadtrecht;89561;Landkreis Heidenheim;Baden-Württemberg
Lauda-Königshofen;https://www.lauda-koenigshofen.de;08128139;Stadt in Deutschland;97922;Main-Tauber-Kreis;Baden-Württemberg
Ahorn;http://www.gemeindeahorn.de;08128138;Gemeinde in Deutschland ohne Stadtrecht;74744;Main-Tauber-Kreis;Baden-Württemberg
Wittighausen;http://www.wittighausen.de;08128137;Gemeinde in Deutschland ohne Stadtrecht;97957;Main-Tauber-Kreis;Baden-Württemberg
Wertheim;https://www.wertheim.de;08128131;Stadt in Deutschland;97877;Amt Wertheim;Baden-Württemberg
Werbach;http://www.werbach.de;08128128;Gemeinde in Deutschland ohne Stadtrecht;97956;Main-Tauber-Kreis;Baden-Württemberg
Weikersheim;https://www.weikersheim.de;08128126;Stadt in Deutschland;97990;Main-Tauber-Kreis;Baden-Württemberg
Tauberbischofsheim;https://www.tauberbischofsheim.de;08128115;Stadt in Deutschland;97941;Main-Tauber-Kreis;Baden-Württemberg
Niederstetten;https://www.niederstetten.de;08128082;Stadt in Deutschland;97996;Main-Tauber-Kreis;Baden-Württemberg
Külsheim;http://www.kuelsheim.de;08128064;Stadt in Deutschland;97900;Main-Tauber-Kreis;Baden-Württemberg
Königheim;http://www.koenigheim.de;08128061;Gemeinde in Deutschland ohne Stadtrecht;97953;Main-Tauber-Kreis;Baden-Württemberg
Igersheim;https://www.igersheim.de;08128058;Gemeinde in Deutschland ohne Stadtrecht;97999;Main-Tauber-Kreis;Baden-Württemberg
Grünsfeld;http://www.gruensfeld.de;08128047;Stadt in Deutschland;97947;Vereinbarte Verwaltungsgemeinschaft Grünsfeld;Baden-Württemberg
Großrinderfeld;http://www.grossrinderfeld.de;08128045;Gemeinde in Deutschland ohne Stadtrecht;97950;Vereinbarte Verwaltungsgemeinschaft Tauberbischofsheim;Baden-Württemberg
Freudenberg;https://www.freudenberg-main.de;08128039;Stadt in Deutschland;97896;Main-Tauber-Kreis;Baden-Württemberg
Creglingen;https://www.creglingen.de;08128020;Stadt in Deutschland;97993;Main-Tauber-Kreis;Baden-Württemberg
Boxberg;http://www.boxberg.de;08128014;Stadt in Deutschland;97944;Main-Tauber-Kreis;Baden-Württemberg
Bad Mergentheim;https://www.bad-mergentheim.de;08128007;Stadt in Deutschland;97980;Main-Tauber-Kreis;Baden-Württemberg
Assamstadt;http://www.assamstadt.de;08128006;Gemeinde in Deutschland ohne Stadtrecht;97959;Main-Tauber-Kreis;Baden-Württemberg
Stimpfach;http://www.stimpfach.de;08127104;Gemeinde in Deutschland ohne Stadtrecht;74597;Landkreis Schwäbisch Hall;Baden-Württemberg
Frankenhardt;https://www.frankenhardt.de;08127103;Gemeinde in Deutschland ohne Stadtrecht;74586;Landkreis Schwäbisch Hall;Baden-Württemberg
Fichtenau;http://www.fichtenau.de;08127102;Gemeinde in Deutschland ohne Stadtrecht;74579;Landkreis Schwäbisch Hall;Baden-Württemberg
Kreßberg;http://www.kressberg.de;08127101;Gemeinde in Deutschland ohne Stadtrecht;74594;Landkreis Schwäbisch Hall;Baden-Württemberg
Rosengarten;https://www.rosengarten.de;08127100;Gemeinde in Deutschland ohne Stadtrecht;74538;Landkreis Schwäbisch Hall;Baden-Württemberg
Wolpertshausen;https://www.wolpertshausen.de;08127099;Gemeinde in Deutschland ohne Stadtrecht;74549;Gemeindeverwaltungsverband Ilshofen-Vellberg;Baden-Württemberg
Wallhausen;http://www.gemeinde-wallhausen.de;08127091;Gemeinde in Deutschland ohne Stadtrecht;74599;Gemeindeverwaltungsverband Brettach/Jagst;Baden-Württemberg
Vellberg;http://www.vellberg.de;08127089;Gemeinde in Deutschland;74541;Landkreis Schwäbisch Hall;Baden-Württemberg
Untermünkheim;https://www.untermuenkheim.de;08127086;Gemeinde in Deutschland ohne Stadtrecht;74547;Gemeindeverwaltungsverband Braunsbach-Untermünkheim;Baden-Württemberg
Sulzbach-Laufen;http://www.sulzbach-laufen.de;08127079;Gemeinde in Deutschland ohne Stadtrecht;74429;Landkreis Schwäbisch Hall;Baden-Württemberg
Schwäbisch Hall;http://www.schwaebischhall.de;08127076;Stadt in Deutschland;74523;Vereinbarte Verwaltungsgemeinschaft Schwäbisch Hall;Baden-Württemberg
Schrozberg;https://www.stadt-schrozberg.de;08127075;Stadt in Deutschland;74575;Landkreis Schwäbisch Hall;Baden-Württemberg
Satteldorf;https://www.satteldorf.de;08127073;Gemeinde in Deutschland ohne Stadtrecht;74589;Landkreis Schwäbisch Hall;Baden-Württemberg
Rot am See;https://www.rotamsee.de;08127071;Gemeinde in Deutschland ohne Stadtrecht;74585;Gemeindeverwaltungsverband Brettach/Jagst;Baden-Württemberg
Obersontheim;https://www.obersontheim.de;08127063;Gemeinde in Deutschland ohne Stadtrecht;74423;Landkreis Schwäbisch Hall;Baden-Württemberg
Oberrot;http://www.oberrot.de;08127062;Gemeinde in Deutschland ohne Stadtrecht;74420;Landkreis Schwäbisch Hall;Baden-Württemberg
Michelfeld;https://www.michelfeld.de;08127059;Gemeinde in Deutschland ohne Stadtrecht;74545;Landkreis Schwäbisch Hall;Baden-Württemberg
Michelbach an der Bilz;https://www.michelbach-bilz.de;08127056;Gemeinde in Deutschland ohne Stadtrecht;74544;Landkreis Schwäbisch Hall;Baden-Württemberg
Mainhardt;https://www.mainhardt.de;08127052;Gemeinde in Deutschland ohne Stadtrecht;74535;Landkreis Schwäbisch Hall;Baden-Württemberg
Langenburg;http://www.langenburg.de;08127047;Stadt in Deutschland;74595;Landkreis Schwäbisch Hall;Baden-Württemberg
Kirchberg an der Jagst;http://www.kirchberg-jagst.de;08127046;Stadt in Deutschland;74592;Landkreis Schwäbisch Hall;Baden-Württemberg
Ilshofen;http://www.ilshofen.de;08127043;Stadt in Deutschland;74532;Landkreis Schwäbisch Hall;Baden-Württemberg
Gerabronn;http://www.gerabronn.de;08127032;Stadt in Deutschland;74582;Landkreis Schwäbisch Hall;Baden-Württemberg
Gaildorf;https://www.gaildorf.de;08127025;Stadt in Deutschland;74405;Gemeindeverwaltungsverband Limpurger Land;Baden-Württemberg
Fichtenberg;http://www.fichtenberg.de;08127023;Gemeinde in Deutschland ohne Stadtrecht;74427;Gemeindeverwaltungsverband Limpurger Land;Baden-Württemberg
Crailsheim;https://www.crailsheim.de;08127014;Große Kreisstadt in Baden-Württemberg;74564;Landkreis Schwäbisch Hall;Baden-Württemberg
Bühlerzell;https://www.buehlerzell.de;08127013;Gemeinde in Deutschland ohne Stadtrecht;74426;Gemeindeverwaltungsverband Oberes Bühlertal;Baden-Württemberg
Bühlertann;http://www.buehlertann.de;08127012;Gemeinde in Deutschland ohne Stadtrecht;74424;Gemeindeverwaltungsverband Oberes Bühlertal;Baden-Württemberg
Braunsbach;http://www.braunsbach.de;08127009;Gemeinde in Deutschland ohne Stadtrecht;74542;Landkreis Schwäbisch Hall;Baden-Württemberg
Blaufelden;http://www.blaufelden.de;08127008;Gemeinde in Deutschland ohne Stadtrecht;74572;Landkreis Schwäbisch Hall;Baden-Württemberg
Zweiflingen;https://www.zweiflingen.de;08126094;Gemeinde in Deutschland ohne Stadtrecht;74639;Vereinbarte Verwaltungsgemeinschaft Öhringen;Baden-Württemberg
Weißbach;http://www.gemeinde-weissbach.de;08126086;Gemeinde in Deutschland ohne Stadtrecht;74679;Hohenlohekreis;Baden-Württemberg
Waldenburg;https://www.waldenburg-hohenlohe.de;08126085;Stadt in Deutschland;74638;Hohenlohekreis;Baden-Württemberg
Schöntal;http://www.schoental.de;08126072;Gemeinde in Deutschland ohne Stadtrecht;74214;Hohenlohekreis;Baden-Württemberg
Pfedelbach;http://www.pfedelbach.de;08126069;Gemeinde in Deutschland ohne Stadtrecht;74629;Hohenlohekreis;Baden-Württemberg
Öhringen;http://www.oehringen.de;08126066;Stadt in Deutschland;74613;Vereinbarte Verwaltungsgemeinschaft Öhringen;Baden-Württemberg
Niedernhall;http://www.niedernhall.de;08126060;Stadt in Deutschland;74676;Hohenlohekreis;Baden-Württemberg
Neuenstein;https://www.neuenstein.de;08126058;Stadt in Deutschland;74632;Hohenlohekreis;Baden-Württemberg
Mulfingen;http://www.mulfingen.de;08126056;Gemeinde in Deutschland ohne Stadtrecht;74673;Gemeindeverwaltungsverband Krautheim;Baden-Württemberg
Kupferzell;https://www.kupferzell.de;08126047;Gemeinde in Deutschland ohne Stadtrecht;74635;Hohenlohekreis;Baden-Württemberg
Künzelsau;https://www.kuenzelsau.de;08126046;Kreisstadt;74653;Hohenlohekreis;Baden-Württemberg
Krautheim;http://www.krautheim.de;08126045;Unterzentrum;74238;Gemeindeverwaltungsverband Krautheim;Baden-Württemberg
Ingelfingen;https://www.ingelfingen.de;08126039;Stadt in Deutschland;74653;Hohenlohekreis;Baden-Württemberg
Forchtenberg;http://www.forchtenberg.de;08126028;Stadt in Deutschland;74632, 74670;Herrschaft Dürn;Baden-Württemberg
Dörzbach;https://www.doerzbach.de;08126020;Gemeinde in Deutschland ohne Stadtrecht;74677;Hohenlohekreis;Baden-Württemberg
Bretzfeld;https://www.bretzfeld.de;08126011;Gemeinde in Deutschland ohne Stadtrecht;74626;Hohenlohekreis;Baden-Württemberg
Langenbrettach;https://www.langenbrettach.de;08125113;Gemeinde in Deutschland ohne Stadtrecht;74243;Vereinbarte Verwaltungsgemeinschaft Neuenstadt am Kocher;Baden-Württemberg
Hardthausen am Kocher;http://www.hardthausen.de;08125111;Gemeinde in Deutschland ohne Stadtrecht;74239, 74249;Landkreis Heilbronn;Baden-Württemberg
Obersulm;http://www.obersulm.de;08125110;Gemeinde in Deutschland ohne Stadtrecht;74182;Vereinbarte Verwaltungsgemeinschaft Obersulm;Baden-Württemberg
Zaberfeld;https://www.zaberfeld.de;08125108;Gemeinde in Deutschland ohne Stadtrecht;74374;Gemeindeverwaltungsverband Oberes Zabergäu;Baden-Württemberg
Wüstenrot;http://www.gemeinde-wuestenrot.de;08125107;Gemeinde in Deutschland ohne Stadtrecht;71543;Landkreis Heilbronn;Baden-Württemberg
Widdern;http://www.widdern.de;08125103;Stadt in Deutschland;74259;Landkreis Heilbronn;Baden-Württemberg
Weinsberg;http://www.weinsberg.de;08125102;Stadt in Deutschland;74189;Landkreis Heilbronn;Baden-Württemberg
Untergruppenbach;https://www.untergruppenbach.de;08125098;Gemeinde in Deutschland ohne Stadtrecht;74199;Landkreis Heilbronn;Baden-Württemberg
Untereisesheim;http://www.untereisesheim.de;08125096;Gemeinde in Deutschland ohne Stadtrecht;74257;Vereinbarte Verwaltungsgemeinschaft Neckarsulm;Baden-Württemberg
Talheim;https://www.talheim.de;08125094;Gemeinde in Deutschland ohne Stadtrecht;74388;Gemeindeverwaltungsverband Flein-Talheim;Baden-Württemberg
Siegelsbach;http://www.siegelsbach.de;08125087;Gemeinde in Deutschland ohne Stadtrecht;74936;Landkreis Heilbronn;Baden-Württemberg
Schwaigern;https://www.schwaigern.de;08125086;Stadt in Deutschland;74193;Landkreis Heilbronn;Baden-Württemberg
Roigheim;http://www.roigheim.de;08125084;Gemeinde in Deutschland ohne Stadtrecht;74255;Vereinbarte Verwaltungsgemeinschaft Möckmühl;Baden-Württemberg
Pfaffenhofen;https://www.pfaffenhofen-wuertt.de;08125081;Gemeinde in Deutschland ohne Stadtrecht;74397;Gemeindeverwaltungsverband Oberes Zabergäu;Baden-Württemberg
Offenau;http://www.offenau.de;08125079;Gemeinde in Deutschland ohne Stadtrecht;74254;Vereinbarte Verwaltungsgemeinschaft Bad Friedrichshall;Baden-Württemberg
Oedheim;http://www.oedheim.de;08125078;Gemeinde in Deutschland ohne Stadtrecht;74229;Vereinbarte Verwaltungsgemeinschaft Bad Friedrichshall;Baden-Württemberg
Nordheim;https://www.nordheim.de;08125074;Gemeinde in Deutschland ohne Stadtrecht;74226;Landkreis Heilbronn;Baden-Württemberg
Neuenstadt am Kocher;http://www.neuenstadt.de;08125069;Stadt in Deutschland;74196;Landkreis Heilbronn;Baden-Württemberg
Neudenau;http://www.neudenau.de;08125068;Stadt in Deutschland;74861;Landkreis Heilbronn;Baden-Württemberg
Neckarwestheim;https://www.neckarwestheim.de;08125066;Gemeinde in Deutschland ohne Stadtrecht;74382;Vereinbarte Verwaltungsgemeinschaft Lauffen am Neckar;Baden-Württemberg
Neckarsulm;http://www.neckarsulm.de;08125065;Stadt in Deutschland;74172;Vereinbarte Verwaltungsgemeinschaft Neckarsulm;Baden-Württemberg
Möckmühl;http://www.moeckmuehl.de;08125063;Stadt in Deutschland;74219;Vereinbarte Verwaltungsgemeinschaft Möckmühl;Baden-Württemberg
Massenbachhausen;http://www.massenbachhausen.de;08125061;Gemeinde in Deutschland ohne Stadtrecht;74252;Landkreis Heilbronn;Baden-Württemberg
Löwenstein;https://www.stadt-loewenstein.de;08125059;Stadt in Deutschland;74245;Vereinbarte Verwaltungsgemeinschaft Obersulm;Baden-Württemberg
Leingarten;http://www.leingarten.de;08125058;Stadt in Deutschland;74211;Landkreis Heilbronn;Baden-Württemberg
Lehrensteinsfeld;http://www.lehrensteinsfeld.de;08125057;Gemeinde in Deutschland ohne Stadtrecht;74251;Landkreis Heilbronn;Baden-Württemberg
Lauffen am Neckar;https://www.lauffen.de;08125056;Stadt in Deutschland;74348;Landkreis Heilbronn;Baden-Württemberg
Kirchardt;http://www.kirchardt.de;08125049;Gemeinde in Deutschland ohne Stadtrecht;74912;Vereinbarte Verwaltungsgemeinschaft Bad Rappenau;Baden-Württemberg
Jagsthausen;https://www.jagsthausen.de;08125048;Gemeinde in Deutschland ohne Stadtrecht;74249;Landkreis Heilbronn;Baden-Württemberg
Ittlingen;http://www.ittlingen.de;08125047;Gemeinde in Deutschland ohne Stadtrecht;74930;Landkreis Heilbronn;Baden-Württemberg
Ilsfeld;https://www.ilsfeld.de;08125046;Gemeinde in Deutschland ohne Stadtrecht;74360;Landkreis Heilbronn;Baden-Württemberg
Gundelsheim;https://www.gundelsheim.de;08125039;Stadt in Deutschland;74831;Landkreis Heilbronn;Baden-Württemberg
Güglingen;http://www.gueglingen.de;08125038;Stadt in Deutschland;74363;Gemeindeverwaltungsverband Oberes Zabergäu;Baden-Württemberg
Gemmingen;http://www.gemmingen.eu;08125034;Gemeinde in Deutschland ohne Stadtrecht;75050;Landkreis Heilbronn;Baden-Württemberg
Flein;http://www.flein.de;08125030;Gemeinde in Deutschland ohne Stadtrecht;74223;Gemeindeverwaltungsverband Flein-Talheim;Baden-Württemberg
Erlenbach;https://www.erlenbach-hn.de;08125027;Gemeinde in Deutschland ohne Stadtrecht;74235;Vereinbarte Verwaltungsgemeinschaft Neckarsulm;Baden-Württemberg
Eppingen;http://www.eppingen.de;08125026;Stadt in Deutschland;75031;Landkreis Heilbronn;Baden-Württemberg
Ellhofen;https://www.ellhofen.de;08125024;Gemeinde in Deutschland ohne Stadtrecht;74248;Landkreis Heilbronn;Baden-Württemberg
Eberstadt;https://www.eberstadt.de;08125021;Gemeinde in Deutschland ohne Stadtrecht;74246;Landkreis Heilbronn;Baden-Württemberg
Cleebronn;http://www.cleebronn.de;08125017;Gemeinde in Deutschland ohne Stadtrecht;74389;Vereinbarte Verwaltungsgemeinschaft Brackenheim;Baden-Württemberg
Brackenheim;https://www.brackenheim.de;08125013;Stadt in Deutschland;74336;Landkreis Heilbronn;Baden-Württemberg
Beilstein;http://www.beilstein.de;08125008;Stadt in Deutschland;71543, 71717;Gemeindeverwaltungsverband Schozach-Bottwartal;Baden-Württemberg
Bad Wimpfen;https://www.badwimpfen.de;08125007;Stadt in Deutschland;74206;Landkreis Heilbronn;Baden-Württemberg
Bad Rappenau;https://www.badrappenau.de;08125006;Stadt in Deutschland;74906;Vereinbarte Verwaltungsgemeinschaft Bad Rappenau;Baden-Württemberg
Bad Friedrichshall;http://www.bad-friedrichshall.de;08125005;Stadt in Deutschland;74177;Vereinbarte Verwaltungsgemeinschaft Bad Friedrichshall;Baden-Württemberg
Abstatt;https://www.abstatt.de;08125001;Gemeinde in Deutschland ohne Stadtrecht;74232;Gemeindeverwaltungsverband Schozach-Bottwartal;Baden-Württemberg
Kernen im Remstal;http://www.kernen.de;08119093;Gemeinde in Deutschland ohne Stadtrecht;71394;Rems-Murr-Kreis;Baden-Württemberg
Weinstadt;https://www.weinstadt.de;08119091;Stadt in Deutschland;71365–71384;Rems-Murr-Kreis;Baden-Württemberg
Remshalden;http://www.remshalden.de;08119090;Gemeinde in Deutschland ohne Stadtrecht;73625–73630;Rems-Murr-Kreis;Baden-Württemberg
Berglen;https://www.berglen.de;08119089;Gemeinde in Deutschland ohne Stadtrecht;73663;Rems-Murr-Kreis;Baden-Württemberg
Aspach;http://www.aspach.de;08119087;Gemeinde in Deutschland ohne Stadtrecht;71546;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Winterbach;https://www.winterbach.de;08119086;Gemeinde in Deutschland ohne Stadtrecht;73650;Rems-Murr-Kreis;Baden-Württemberg
Winnenden;https://www.winnenden.de;08119085;Stadt in Deutschland;71349–71364;Gemeindeverwaltungsverband Winnenden;Baden-Württemberg
Welzheim;https://www.welzheim.de;08119084;Stadt in Deutschland;73642;Rems-Murr-Kreis;Baden-Württemberg
Weissach im Tal;https://www.weissach-im-tal.de;08119083;Gemeinde in Deutschland ohne Stadtrecht;71554;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Waiblingen;https://www.waiblingen.de;08119079;Stadt in Deutschland;71332, 71334, 71336;Rems-Murr-Kreis;Baden-Württemberg
Urbach;https://www.urbach.de;08119076;Gemeinde in Deutschland ohne Stadtrecht;73656–73660;Rems-Murr-Kreis;Baden-Württemberg
Sulzbach an der Murr;http://www.sulzbach-murr.de;08119075;Gemeinde in Deutschland ohne Stadtrecht;71560;Rems-Murr-Kreis;Baden-Württemberg
Spiegelberg;http://www.gemeinde-spiegelberg.de;08119069;Gemeinde in Deutschland ohne Stadtrecht;71579;Gemeindeverwaltungsverband Sulzbach;Baden-Württemberg
Schwaikheim;http://www.schwaikheim.de;08119068;Gemeinde in Deutschland ohne Stadtrecht;71409;Gemeindeverwaltungsverband Winnenden;Baden-Württemberg
Schorndorf;https://www.schorndorf.de;08119067;Stadt in Deutschland;73614;Rems-Murr-Kreis;Baden-Württemberg
Rudersberg;http://www.rudersberg.de;08119061;Gemeinde in Deutschland ohne Stadtrecht;73635;Rems-Murr-Kreis;Baden-Württemberg
Plüderhausen;https://www.pluederhausen.de;08119055;Gemeinde in Deutschland ohne Stadtrecht;73655;Rems-Murr-Kreis;Baden-Württemberg
Oppenweiler;https://www.oppenweiler.de;08119053;Gemeinde in Deutschland ohne Stadtrecht;71570;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Murrhardt;https://www.murrhardt.de;08119044;Stadt in Deutschland;71540;Rems-Murr-Kreis;Baden-Württemberg
Leutenbach;http://www.leutenbach.de;08119042;Gemeinde in Deutschland ohne Stadtrecht;71397;Rems-Murr-Kreis;Baden-Württemberg
Korb;https://www.korb.de;08119041;Gemeinde in Deutschland ohne Stadtrecht;71404;Rems-Murr-Kreis;Baden-Württemberg
Kirchberg an der Murr;https://www.kirchberg-murr.de;08119038;Gemeinde in Deutschland ohne Stadtrecht;71736–71737;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Kaisersbach;http://www.kaisersbach.de;08119037;Gemeinde in Deutschland ohne Stadtrecht;73667;Rems-Murr-Kreis;Baden-Württemberg
Großerlach;http://www.grosserlach.de;08119024;Gemeinde in Deutschland ohne Stadtrecht;71560, 71577;Gemeindeverwaltungsverband Sulzbach;Baden-Württemberg
Fellbach;https://www.fellbach.de;08119020;Stadt in Deutschland;70734, 70736;Rems-Murr-Kreis;Baden-Württemberg
Burgstetten;http://www.burgstetten.de;08119018;Gemeinde in Deutschland ohne Stadtrecht;71576;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Backnang;https://www.backnang.de;08119008;Stadt in Deutschland;71522;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Auenwald;http://www.auenwald.de;08119006;Gemeinde in Deutschland ohne Stadtrecht;71549;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Althütte;http://www.althuette.de;08119004;Gemeinde in Deutschland ohne Stadtrecht;71566;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Allmersbach im Tal;https://www.allmersbach.de;08119003;Gemeinde in Deutschland ohne Stadtrecht;71573;Vereinbarte Verwaltungsgemeinschaft Backnang;Baden-Württemberg
Alfdorf;https://www.alfdorf.de;08119001;Gemeinde in Deutschland ohne Stadtrecht;73553, 73655;Rems-Murr-Kreis;Baden-Württemberg
Remseck am Neckar;https://www.stadt-remseck.de;08118081;Stadt in Deutschland;71686;Landkreis Ludwigsburg;Baden-Württemberg
Korntal-Münchingen;https://www.korntal-muenchingen.de;08118080;Stadt in Deutschland;70825;Landkreis Ludwigsburg;Baden-Württemberg
